id,date,store_nbr,family,sales,onpromotion
1755,2013-01-01,9,CELEBRATION,0,0
3537,2013-01-02,9,CELEBRATION,0,0
5319,2013-01-03,9,CELEBRATION,0,0
7101,2013-01-04,9,CELEBRATION,0,0
8883,2013-01-05,9,CELEBRATION,0,0
10665,2013-01-06,9,CELEBRATION,0,0
12447,2013-01-07,9,CELEBRATION,0,0
14229,2013-01-08,9,CELEBRATION,0,0
16011,2013-01-09,9,CELEBRATION,0,0
17793,2013-01-10,9,CELEBRATION,0,0
19575,2013-01-11,9,CELEBRATION,0,0
21357,2013-01-12,9,CELEBRATION,0,0
23139,2013-01-13,9,CELEBRATION,0,0
24921,2013-01-14,9,CELEBRATION,0,0
26703,2013-01-15,9,CELEBRATION,0,0
28485,2013-01-16,9,CELEBRATION,0,0
30267,2013-01-17,9,CELEBRATION,0,0
32049,2013-01-18,9,CELEBRATION,0,0
33831,2013-01-19,9,CELEBRATION,0,0
35613,2013-01-20,9,CELEBRATION,0,0
37395,2013-01-21,9,CELEBRATION,0,0
39177,2013-01-22,9,CELEBRATION,0,0
40959,2013-01-23,9,CELEBRATION,0,0
42741,2013-01-24,9,CELEBRATION,0,0
44523,2013-01-25,9,CELEBRATION,0,0
46305,2013-01-26,9,CELEBRATION,0,0
48087,2013-01-27,9,CELEBRATION,0,0
49869,2013-01-28,9,CELEBRATION,0,0
51651,2013-01-29,9,CELEBRATION,0,0
53433,2013-01-30,9,CELEBRATION,0,0
55215,2013-01-31,9,CELEBRATION,0,0
56997,2013-02-01,9,CELEBRATION,0,0
58779,2013-02-02,9,CELEBRATION,0,0
60561,2013-02-03,9,CELEBRATION,0,0
62343,2013-02-04,9,CELEBRATION,0,0
64125,2013-02-05,9,CELEBRATION,0,0
65907,2013-02-06,9,CELEBRATION,0,0
67689,2013-02-07,9,CELEBRATION,0,0
69471,2013-02-08,9,CELEBRATION,0,0
71253,2013-02-09,9,CELEBRATION,0,0
73035,2013-02-10,9,CELEBRATION,0,0
74817,2013-02-11,9,CELEBRATION,0,0
76599,2013-02-12,9,CELEBRATION,0,0
78381,2013-02-13,9,CELEBRATION,0,0
80163,2013-02-14,9,CELEBRATION,0,0
81945,2013-02-15,9,CELEBRATION,0,0
83727,2013-02-16,9,CELEBRATION,0,0
85509,2013-02-17,9,CELEBRATION,0,0
87291,2013-02-18,9,CELEBRATION,0,0
89073,2013-02-19,9,CELEBRATION,0,0
90855,2013-02-20,9,CELEBRATION,0,0
92637,2013-02-21,9,CELEBRATION,0,0
94419,2013-02-22,9,CELEBRATION,0,0
96201,2013-02-23,9,CELEBRATION,0,0
97983,2013-02-24,9,CELEBRATION,0,0
99765,2013-02-25,9,CELEBRATION,0,0
101547,2013-02-26,9,CELEBRATION,0,0
103329,2013-02-27,9,CELEBRATION,0,0
105111,2013-02-28,9,CELEBRATION,0,0
106893,2013-03-01,9,CELEBRATION,0,0
108675,2013-03-02,9,CELEBRATION,0,0
110457,2013-03-03,9,CELEBRATION,0,0
112239,2013-03-04,9,CELEBRATION,0,0
114021,2013-03-05,9,CELEBRATION,0,0
115803,2013-03-06,9,CELEBRATION,0,0
117585,2013-03-07,9,CELEBRATION,0,0
119367,2013-03-08,9,CELEBRATION,0,0
121149,2013-03-09,9,CELEBRATION,0,0
122931,2013-03-10,9,CELEBRATION,0,0
124713,2013-03-11,9,CELEBRATION,0,0
126495,2013-03-12,9,CELEBRATION,0,0
128277,2013-03-13,9,CELEBRATION,0,0
130059,2013-03-14,9,CELEBRATION,0,0
131841,2013-03-15,9,CELEBRATION,0,0
133623,2013-03-16,9,CELEBRATION,0,0
135405,2013-03-17,9,CELEBRATION,0,0
137187,2013-03-18,9,CELEBRATION,0,0
138969,2013-03-19,9,CELEBRATION,0,0
140751,2013-03-20,9,CELEBRATION,0,0
142533,2013-03-21,9,CELEBRATION,0,0
144315,2013-03-22,9,CELEBRATION,0,0
146097,2013-03-23,9,CELEBRATION,0,0
147879,2013-03-24,9,CELEBRATION,0,0
149661,2013-03-25,9,CELEBRATION,0,0
151443,2013-03-26,9,CELEBRATION,0,0
153225,2013-03-27,9,CELEBRATION,0,0
155007,2013-03-28,9,CELEBRATION,0,0
156789,2013-03-29,9,CELEBRATION,0,0
158571,2013-03-30,9,CELEBRATION,0,0
160353,2013-03-31,9,CELEBRATION,0,0
162135,2013-04-01,9,CELEBRATION,0,0
163917,2013-04-02,9,CELEBRATION,0,0
165699,2013-04-03,9,CELEBRATION,0,0
167481,2013-04-04,9,CELEBRATION,0,0
169263,2013-04-05,9,CELEBRATION,0,0
171045,2013-04-06,9,CELEBRATION,0,0
172827,2013-04-07,9,CELEBRATION,0,0
174609,2013-04-08,9,CELEBRATION,0,0
176391,2013-04-09,9,CELEBRATION,0,0
178173,2013-04-10,9,CELEBRATION,0,0
179955,2013-04-11,9,CELEBRATION,0,0
181737,2013-04-12,9,CELEBRATION,0,0
183519,2013-04-13,9,CELEBRATION,0,0
185301,2013-04-14,9,CELEBRATION,0,0
187083,2013-04-15,9,CELEBRATION,0,0
188865,2013-04-16,9,CELEBRATION,0,0
190647,2013-04-17,9,CELEBRATION,0,0
192429,2013-04-18,9,CELEBRATION,0,0
194211,2013-04-19,9,CELEBRATION,0,0
195993,2013-04-20,9,CELEBRATION,0,0
197775,2013-04-21,9,CELEBRATION,0,0
199557,2013-04-22,9,CELEBRATION,0,0
201339,2013-04-23,9,CELEBRATION,0,0
203121,2013-04-24,9,CELEBRATION,0,0
204903,2013-04-25,9,CELEBRATION,0,0
206685,2013-04-26,9,CELEBRATION,0,0
208467,2013-04-27,9,CELEBRATION,0,0
210249,2013-04-28,9,CELEBRATION,0,0
212031,2013-04-29,9,CELEBRATION,0,0
213813,2013-04-30,9,CELEBRATION,0,0
215595,2013-05-01,9,CELEBRATION,0,0
217377,2013-05-02,9,CELEBRATION,0,0
219159,2013-05-03,9,CELEBRATION,0,0
220941,2013-05-04,9,CELEBRATION,0,0
222723,2013-05-05,9,CELEBRATION,0,0
